"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Giannis Antetokounmpo","Mil","F","30","13","35.3","35.7","12.9","126","0.587","266","0.617","10","0.2","0.605","0.615","31.4","12.4","5.9","0.5","1.5","3.2","43.8","37.3","49.7","15","119.8","104.2"
"","Anthony Davis","Lal","F-C","31.7","12","35.1","32.1","10.5","129","0.798","202","0.579","28","0.429","0.587","0.65","31.1","11.2","2.6","1.3","2","2.3","42.3","33.7","44.8","11","127.1","110.8"
"","Nikola Jokic","Den","C","29.7","10","38.1","29.5","17.6","70","0.843","153","0.562","39","0.564","0.62","0.667","29.7","13.7","11.7","1.7","1","4.1","43.4","41.4","55.1","17.7","132.7","108.3"
"","Jayson Tatum","Bos","F-G","26.7","14","36.5","31.7","12.5","121","0.818","125","0.56","155","0.381","0.566","0.624","29.7","7.9","5.9","1.4","0.6","2.9","37.6","35.6","43.4","12.2","123.5","104.5"
"","LaMelo Ball","Cha","G","23.2","13","33.9","37.4","15.7","68","0.882","140","0.521","166","0.361","0.533","0.575","29.7","5","6.7","1.2","0.2","4.4","34.7","36.4","41.4","11.8","112.5","106.5"
"","Paolo Banchero","Orl","F","22","5","36.4","31.8","10.2","59","0.644","65","0.569","32","0.344","0.552","0.59","29","8.8","5.6","0.6","0.8","2.2","37.8","34.6","43.4","12.4","120","101.6"
"","De'Aaron Fox","Sac","G","26.9","15","37.4","32","15","99","0.838","219","0.571","93","0.355","0.559","0.607","28.8","5","5.7","1.7","0.1","3.7","33.8","34.5","39.5","10","115.1","108.3"
"","Shai Gilgeous-Alexander","Okc","G","26.4","14","33.5","32.9","11.4","105","0.886","203","0.576","76","0.316","0.548","0.613","28.5","5.3","6.3","1.6","1.2","2.6","33.8","34.8","40.1","11.7","121.8","104.7"
"","Luka Doncic","Dal","F-G","25.7","13","37.2","33.9","12.5","87","0.793","170","0.506","131","0.321","0.495","0.541","28.2","7.8","7.8","1.5","0.3","3.3","36.1","36.1","43.9","12.9","111.5","106.3"
"","Anthony Edwards","Min","G","23.3","14","37.1","30.5","13","61","0.754","136","0.537","158","0.424","0.59","0.612","28.1","5.1","3.8","1.1","0.5","3.1","33.1","31.9","36.9","8.8","112.9","110.5"
"","Kevin Durant","Pho","F","36.1","9","38.8","27.2","15.7","55","0.836","105","0.619","56","0.429","0.627","0.67","27.6","6.6","3.4","0.8","1.4","3.3","34.1","31","37.6","8.8","116.6","113.3"
"","Tyrese Maxey","Phi","G","24","7","39.7","31.5","7.8","45","0.822","88","0.511","77","0.286","0.473","0.522","27.6","3","3.9","1.4","0.6","2","30.6","31.4","34.4","6.9","105.1","111.8"
"","Karl-Anthony Towns","Nyk","C-F","29","13","32.9","29.1","9.2","72","0.847","160","0.556","66","0.515","0.619","0.662","26.2","12.4","3","0.8","0.8","1.8","38.6","29.2","41.6","12.1","131.6","104.3"
"","Jaylen Brown","Bos","G-F","28.1","10","36.8","30.5","10.3","82","0.78","132","0.5","68","0.294","0.48","0.542","25.6","7.1","4","1.1","0.4","2.3","32.7","29.6","36.7","9.8","112.4","106.1"
"","Damian Lillard","Mil","G","34.3","11","35.8","29.2","12.9","84","0.905","98","0.541","98","0.327","0.515","0.597","25.3","4.5","6.9","0.9","0.2","2.6","29.8","32.2","36.7","10.3","120.1","113.2"
"","Kyrie Irving","Dal","G","32.7","13","35.1","25.3","10","47","0.851","151","0.556","73","0.521","0.629","0.658","24.8","4.6","5.1","1.4","0.2","1.9","29.4","29.8","34.5","9.5","129.9","112.2"
"","Donovan Mitchell","Cle","G","28.2","14","31.2","31.3","10","55","0.855","134","0.515","126","0.421","0.571","0.605","24.6","4.4","4.1","1.5","0.3","2.1","28.9","28.6","33","9.8","116.8","107.2"
"","Cam Thomas","Bro","G","23.1","14","34.2","30.5","13.5","89","0.865","147","0.503","102","0.392","0.538","0.599","24.6","3.4","3.1","0.9","0.1","2.8","28","27.7","31.1","7.5","110.9","116.4"
"","Jalen Brunson","Nyk","G","28.2","14","34.2","30","10.5","89","0.82","171","0.515","83","0.373","0.53","0.583","24.4","2.9","7.1","0.6","0","2.1","27.4","31.6","34.5","9.3","121.8","114.9"
"","Tyler Herro","Mia","G","24.8","13","33.7","27.3","13.4","50","0.88","93","0.538","126","0.452","0.619","0.654","24.2","4.9","5.2","0.6","0.2","2.6","29.2","29.4","34.3","10.1","122.1","111.2"
"","Brandon Ingram","Nor","F","27.2","14","33.6","31.6","15.9","39","0.872","183","0.525","96","0.365","0.532","0.559","23.6","6","5.4","0.9","0.6","3.8","29.6","29.1","35.1","10.9","107.2","112.9"
"","Devin Booker","Pho","G","28.1","15","36.7","27.3","10.8","97","0.887","151","0.497","114","0.342","0.504","0.574","23.5","3.7","6.5","1.1","0.5","2.1","27.3","30.1","33.8","9","120.3","114.2"
"","LeBron James","Lal","F","39.9","13","35.4","27.4","17.8","66","0.758","144","0.556","72","0.431","0.586","0.618","23.3","8.6","9.2","0.7","0.5","3.6","31.9","32.5","41.2","13.9","119.6","113.7"
"","Norman Powell","Lac","G","31.5","15","33.4","26.1","11.5","60","0.817","128","0.492","119","0.487","0.607","0.638","23.3","3.1","2.3","1.1","0.2","2.1","26.3","25.6","28.7","6.6","117.7","110.1"
"","Cade Cunningham","Det","G","23.2","16","36.3","30.7","19.1","69","0.812","217","0.479","97","0.371","0.503","0.54","23.3","7.3","8.8","0.9","0.9","4.6","30.5","32.1","39.3","12.6","105.8","107"
"","RJ Barrett","Tor","F-G","24.4","12","34.1","31.1","14.1","76","0.697","163","0.46","74","0.338","0.475","0.514","23.2","6.4","6.5","0.9","0.3","3.3","29.6","29.7","36.1","11.6","105.5","114.1"
"","Jaren Jackson Jr.","Mem","F-C","25.2","12","28.8","27.9","11","69","0.797","126","0.619","60","0.367","0.597","0.64","23.1","5.7","1.1","1.4","1.4","1.9","28.8","24.2","29.8","7.3","118.9","100.7"
"","Stephen Curry","Gol","G","36.7","10","29.1","30.3","17.6","35","0.943","67","0.552","96","0.427","0.604","0.645","23","5.3","6.4","1.8","0.6","3.5","28.3","29.4","34.7","12.7","119.6","105.5"
"","DeMar DeRozan","Sac","G-F","35.3","12","36.5","24.8","10.6","71","0.859","169","0.544","25","0.4","0.552","0.61","22.9","4.1","4.1","1.7","0.7","1.9","27","27","31.1","8","120.7","113.4"
"","Franz Wagner","Orl","F","23.2","15","31.2","30.4","9.6","65","0.846","183","0.525","89","0.36","0.529","0.571","22.9","5.5","5","1.4","0.3","1.9","28.4","27.9","33.4","11","115.4","101"
"","Zion Williamson","Nor","F","24.4","6","31.1","34.8","17.4","60","0.667","98","0.459","6","0.333","0.462","0.521","22.7","8","5.3","0.7","1.2","3.7","30.7","28","36","12.7","105.6","110.1"
"","Victor Wembanyama","San","F-C","20.9","13","31.5","31.3","16.7","47","0.872","117","0.598","112","0.339","0.555","0.591","22.7","10.5","2.8","1.3","3.7","3.5","33.2","25.5","36","11.1","106.8","105"
"","Trae Young","Atl","G","26.2","14","36.4","28.5","21.4","96","0.896","123","0.415","123","0.35","0.47","0.55","22.6","4","11.6","1.1","0.1","4.8","26.6","34.3","38.3","11.2","111","117.2"
"","Zach LaVine","Chi","G","29.7","12","34.2","24.2","15.8","44","0.773","98","0.582","88","0.42","0.605","0.631","21.6","5.3","4.1","0.9","0.5","2.9","26.8","25.7","30.9","9.1","111.2","115.8"
"","Julius Randle","Min","F-C","30","14","34","25.9","16.5","81","0.827","139","0.568","68","0.382","0.57","0.624","21.6","6.5","4.4","0.6","0.1","2.9","28.1","26.1","32.6","10","120.2","109.3"
"","Darius Garland","Cle","G","24.8","15","30.2","27.2","15.2","44","0.932","122","0.582","101","0.455","0.628","0.662","21.4","2.4","7","1.2","0.3","2.7","23.8","28.4","30.8","9.4","126.3","107.9"
"","Jordan Poole","Was","G","25.4","13","29.9","28.1","17","51","0.902","101","0.475","99","0.444","0.57","0.616","21.1","2.3","4.5","1.9","0.5","3.2","23.4","25.6","27.9","8.1","110.9","114.4"
"","Jalen Williams","Okc","G-F","23.6","14","32.2","25.9","11.7","40","0.8","159","0.56","67","0.403","0.573","0.597","20.8","6.4","5","2","1","2.1","27.1","25.8","32.1","10.8","116.4","97.6"
"","Nikola Vucevic","Chi","C","34.1","15","32.1","21.5","10.5","33","0.848","148","0.642","64","0.484","0.667","0.686","20.7","9.9","3","0.6","0.9","1.7","30.6","23.7","33.6","10.6","128.9","111.5"
"","Ja Morant","Mem","G","25.3","8","27.8","33.1","21.3","54","0.833","94","0.511","31","0.258","0.48","0.555","20.6","5","9.1","0.6","0.3","4.3","25.6","29.8","34.8","14.1","109.6","106.5"
"","Pascal Siakam","Ind","F","30.6","14","34.2","22","8.1","44","0.773","140","0.593","63","0.46","0.623","0.645","20.5","6.5","4.1","0.7","0.1","1.3","27","24.6","31.1","9.6","129.5","113.7"
"","De'Andre Hunter","Atl","F-G","27","4","26.1","24.9","3.7","22","0.864","29","0.517","23","0.478","0.606","0.665","20.5","4.5","1.5","0.5","0.5","0.5","25","22","26.5","7.9","134.5","106.2"
"","Domantas Sabonis","Sac","F-C","28.5","13","36.5","20.9","22","59","0.847","126","0.698","30","0.4","0.679","0.72","20.2","12.5","6.6","0.6","0.5","3.4","32.7","26.8","39.3","13","131.4","102.9"
"","James Harden","Lac","G","35.2","15","34.9","28.6","21.6","100","0.86","120","0.433","119","0.311","0.45","0.532","20.1","7.7","9","1.6","1","4.4","27.8","29.1","36.8","12.8","106.9","104.8"
"","Coby White","Chi","G","24.8","15","32.9","23.5","15.9","54","0.889","81","0.543","135","0.4","0.579","0.621","19.9","3.3","4.7","1.3","0.3","2.7","23.2","24.6","27.9","8.2","113.1","113.3"
"","Jalen Green","Hou","G","22.8","15","32.7","27.1","12.9","56","0.875","137","0.453","125","0.328","0.471","0.516","19.7","5","2.7","0.8","0.3","2.6","24.7","22.5","27.5","7.9","102.6","104.3"
"","Bennedict Mathurin","Ind","G-F","22.4","14","31.2","23.1","13.4","84","0.821","114","0.57","54","0.463","0.61","0.668","19.6","6.7","1.7","0.6","0.1","1.9","26.3","21.3","28","7.8","123.7","113.1"
"","Jalen Johnson","Atl","F","22.9","14","36.6","23.5","18.6","59","0.729","155","0.542","64","0.313","0.521","0.553","19.4","10","5.4","1.4","1.1","3.6","29.4","24.7","34.7","11.1","105.3","110.7"
"","Scottie Barnes","Tor","F-G","23.3","4","33.6","27.3","20.2","23","0.739","52","0.519","11","0.182","0.476","0.527","19.3","7.8","6","2","0.5","4","27","25.3","33","11.5","103.2","110.8"
"","Derrick White","Bos","G","30.4","14","34.3","21.1","9.6","35","0.857","66","0.576","131","0.405","0.596","0.624","18.9","4.5","4.3","0.9","1.1","1.5","23.4","23.2","27.7","8.3","126.9","108.1"
"","CJ McCollum","Nor","G","33.2","4","34.2","23.6","10.9","6","0.667","31","0.516","34","0.382","0.546","0.554","18.8","3.5","4","2.3","1","2","22.3","22.8","26.3","7.5","110.1","116"
"","Gradey Dick","Tor","G-F","21","15","33","22.9","10.5","65","0.908","117","0.487","104","0.346","0.502","0.563","18.7","2.8","2.4","0.9","0.3","1.7","21.5","21.1","23.9","6.1","113.2","118.3"
"","Jaden Ivey","Det","G","22.8","15","32.3","26.5","16.6","68","0.735","151","0.483","75","0.36","0.502","0.541","18.5","4.5","4.3","0.8","0.5","3","23","22.7","27.3","8.8","104.9","107.3"
"","Dennis Schroder","Bro","G","31.2","14","34.2","22.6","13.4","45","0.867","99","0.475","94","0.426","0.554","0.594","18.1","2.9","6.1","1.3","0","2.1","20.9","24.1","27","8","117.6","114.3"
"","Evan Mobley","Cle","C","23.4","14","30.6","23.6","15.8","55","0.818","151","0.603","24","0.375","0.597","0.638","18.1","8.8","2.4","0.9","1.5","2.4","26.9","20.5","29.3","9.5","118.2","104.6"
"","Austin Reaves","Lal","G","26.5","13","34.8","21.3","12.8","47","0.787","75","0.573","102","0.363","0.556","0.592","18","4","5.5","1.2","0.3","2","22","23.5","27.5","8.4","118.5","112.5"
"","Shaedon Sharpe","Por","G","21.5","6","26.8","27.3","11.3","24","0.667","50","0.62","36","0.278","0.535","0.559","18","3","2","1","0.2","1.8","21","20","23","7.1","108.6","112.9"
"","Bradley Beal","Pho","G","31.4","9","34.8","20.5","8.9","26","0.808","62","0.565","60","0.383","0.57","0.6","17.8","4","3.7","1.4","0.9","1.3","21.8","21.4","25.4","7.4","119.1","110.5"
"","Michael Porter Jr.","Den","F","26.4","12","36.2","19","7.1","22","0.773","84","0.548","87","0.402","0.576","0.592","17.8","6.6","2.8","0.9","0.4","1.1","24.4","20.6","27.2","7.6","119.6","111.7"
"","Jimmy Butler","Mia","F","35.2","9","30.9","22.9","12","69","0.783","88","0.545","14","0.214","0.515","0.601","17.7","5.3","4.9","1.4","0.2","1.6","23","22.6","27.9","10","129.7","112.3"
"","Myles Turner","Ind","C-F","28.7","12","32.9","23.1","15.8","45","0.689","93","0.516","66","0.424","0.566","0.59","17.6","6.8","1.4","0.9","1.8","2.5","24.4","19","25.8","6.7","103","110"
"","Desmond Bane","Mem","G","26.4","7","26.9","25.3","12.6","16","0.875","54","0.593","43","0.349","0.562","0.591","17.6","6.3","3.3","1","0.6","2","23.9","20.9","27.1","10.6","113.2","101.6"
"","John Collins","Uta","F-C","27.2","13","27.1","26.2","17.4","42","0.976","130","0.569","36","0.361","0.563","0.618","17.5","7.8","2.6","1.5","0.8","2.7","25.4","20.2","28","10.5","115.2","107.8"
"","Alperen Sengun","Hou","C","22.3","15","29.5","25.8","12.3","66","0.758","195","0.492","25","0.28","0.484","0.528","17.5","11.1","4.9","1","1.4","2.1","28.6","22.5","33.5","13.3","115.3","96.4"
"","O.G. Anunoby","Nyk","F-G","27.3","14","36.4","18.8","8.1","40","0.8","103","0.602","79","0.367","0.58","0.609","17.4","5.4","2.2","1.4","0.6","1.1","22.8","19.6","25","6.5","121.4","112"
"","Jamal Murray","Den","G","27.7","9","36.3","22.4","11.5","35","0.857","85","0.459","53","0.302","0.457","0.508","17.3","4.4","5.4","1.2","0.2","2","21.8","22.8","27.2","8.2","107.7","113.6"
"","Lauri Markkanen","Uta","F-C","27.5","10","30.8","21.7","12.6","54","0.833","61","0.41","57","0.456","0.542","0.61","17.3","6.4","2.4","0.6","0","1.7","23.7","19.7","26.1","8.3","122","117.8"
"","Jakob Poeltl","Tor","C","29.1","15","32.9","20.6","18","48","0.646","186","0.608","0","0","0.608","0.62","17.1","11.9","2.7","1.2","1.3","2.7","29","19.8","31.7","10","114.7","107.4"
"","Kyle Kuzma","Was","F","29.3","8","28","30.7","15.9","20","0.7","84","0.476","48","0.292","0.462","0.483","17","6.8","2.1","0.3","0.4","3.1","23.8","19.1","25.9","8.9","87.5","118.4"
"","Jerami Grant","Por","F","30.7","14","33","22.2","8.9","59","0.797","111","0.423","94","0.34","0.463","0.513","16.9","3.4","2.1","0.9","1.2","1.4","20.3","19.1","22.4","6","106.4","114.2"
"","Buddy Hield","Gol","G","31.9","13","24.9","23.6","8.9","14","0.857","59","0.542","104","0.462","0.638","0.65","16.9","3.8","1.8","0.8","0.4","1.2","20.8","18.8","22.6","7.8","123","104.4"
"","Cameron Johnson","Bro","F","28.7","14","33.2","18.5","3.4","43","0.907","63","0.619","105","0.381","0.589","0.634","16.9","4.2","2.9","0.6","0.4","0.4","21.1","19.8","24","7.1","132.2","115.5"
"","Paul George","Phi","F","34.6","7","30.6","28.2","19.1","27","0.815","49","0.51","52","0.288","0.47","0.518","16.7","5.6","5.1","2.4","0.3","3.4","22.3","21.9","27.4","10.2","99","105.4"
"","Mikal Bridges","Nyk","G-F","28.2","14","38.5","18.6","9.9","11","0.636","109","0.633","90","0.311","0.558","0.562","16.4","4","3.5","1.1","0.6","1.6","20.4","19.9","23.9","6.4","113.1","117.3"
"","Chet Holmgren","Okc","C-F","22.6","10","26.5","25.1","17.1","49","0.776","74","0.568","37","0.378","0.568","0.619","16.4","8.7","2","0.8","2.6","2.3","25.1","18.4","27.1","9.9","113.1","97.5"
"","Bam Adebayo","Mia","C-F","27.3","13","35.3","22","9.8","65","0.708","151","0.45","32","0.313","0.454","0.501","16.3","9.5","3.9","1.8","1.2","1.5","25.8","20.2","29.7","9.6","111.6","108.2"
"","Anfernee Simons","Por","G","25.4","12","29.7","25.5","14","36","0.917","91","0.462","87","0.299","0.455","0.503","16.3","2","4.3","0.8","0.1","2.4","18.3","20.5","22.5","7","102.2","117.4"
"","Jordan Hawkins","Nor","G","22.6","8","30.3","22.7","11.2","29","0.931","51","0.451","52","0.365","0.5","0.562","16.3","4.5","1.4","0.1","0.4","1.6","20.8","17.6","22.1","6.2","110.9","118.2"
"","Devin Vassell","San","G-F","24.2","4","22.6","29.3","12.4","11","1","22","0.545","27","0.37","0.551","0.604","16.3","1.3","3.5","0.5","0.5","1.8","17.5","19.8","21","7.4","116.5","109.1"
"","Tyrese Haliburton","Ind","G","24.7","14","35.2","21.9","10.6","49","0.816","90","0.5","111","0.288","0.463","0.508","16.1","3.7","8.5","1.4","0.6","1.7","19.9","24.6","28.4","9.1","114.7","117.3"
"","Christian Braun","Den","G","23.6","12","35.4","16.1","9.8","42","0.81","89","0.596","39","0.436","0.613","0.652","15.9","5.2","1.9","1.3","0.8","1.2","21.1","17.8","23","6.1","126.8","111"
"","Jordan Clarkson","Uta","G","32.4","11","26.1","27.8","12.8","41","0.78","75","0.52","75","0.28","0.47","0.515","15.7","3.8","3.8","1","0.1","2","19.5","19.5","23.4","9.3","106.4","117.4"
"","Fred VanVleet","Hou","G","30.7","14","34.7","19.2","7.1","37","0.784","94","0.5","103","0.311","0.482","0.513","15.6","4.6","6.1","1.7","0.4","1.1","20.2","21.7","26.3","8.8","118.6","102.8"
"","Miles Bridges","Cha","F","26.7","10","29.8","22.6","9.6","33","0.848","72","0.486","60","0.317","0.481","0.529","15.5","6.9","3.1","0.7","0.5","1.4","22.4","18.6","25.5","9.3","112.6","113.4"
"","Collin Sexton","Uta","G","25.9","13","26.4","24.8","17.9","55","0.873","96","0.458","50","0.44","0.527","0.593","15.5","2.9","3","0.8","0.2","2.5","18.5","18.5","21.5","7.8","111.5","112"
"","Payton Pritchard","Bos","G","26.8","14","28.2","19.9","10","26","0.885","29","0.655","124","0.419","0.634","0.66","15.5","2.6","2.8","1.1","0.1","1.2","18.1","18.3","20.9","6.9","128.8","109.1"
"","Aaron Gordon","Den","F","29.2","7","30.3","18.1","11.3","26","0.846","48","0.521","22","0.545","0.614","0.663","15.4","6.7","3.1","0.7","0.3","1.3","22.1","18.6","25.3","9","134.2","111.9"
"","Malik Beasley","Det","G","28","16","28.7","22.4","8.6","21","0.667","67","0.463","145","0.393","0.55","0.558","15.4","3","1.6","0.7","0.1","1.3","18.4","17.1","20.1","5.8","108.9","111.9"
