"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Jalen Duren","Det","C","21","14","25","13.7","24.9","37","0.514","72","0.75","0","0","0.75","0.719","9.1","10.5","2.7","0.3","1.1","1.7","19.6","11.8","22.3","10.2","130.5","98.1"
"","Peyton Watson","Den","G","22.2","12","24.2","16","6.2","29","0.759","60","0.45","30","0.367","0.483","0.53","9.1","3.4","1","0.9","0.9","0.5","12.5","10.1","13.5","5.2","113.4","110.1"
"","Isaiah Joe","Okc","G","25.4","14","22.2","15.9","3.6","8","0.75","20","0.6","88","0.364","0.556","0.565","9","3.1","1.7","0.7","0.3","0.3","12.1","10.7","13.9","6.5","119.3","101.9"
"","Jaylen Nowell","Nor","G","25.4","7","21","21.4","7.2","11","0.636","40","0.4","24","0.333","0.438","0.458","9","2.9","2","0.1","0.3","0.7","11.9","11","13.9","7.1","102.8","121.3"
"","Taurean Prince","Mil","F","30.7","14","29.9","11.9","15.1","3","1","40","0.425","55","0.527","0.637","0.644","8.9","5.1","2.1","1","0.1","1.2","14","11","16.1","6.1","118","108.9"
"","Jaime Jaquez Jr.","Mia","G","23.8","9","23","20.4","17.9","19","0.579","55","0.436","18","0.389","0.473","0.492","8.9","6","2.8","1.1","0.1","1.8","14.9","11.7","17.7","9.2","101","104.9"
"","Nickeil Alexander-Walker","Min","G","26.2","14","23.6","14.8","19.8","14","0.714","37","0.595","48","0.479","0.665","0.675","8.8","2.6","2.6","1","0.4","1.5","11.4","11.4","14","6.6","120.4","112.2"
"","Jake LaRavia","Mem","F","23","14","24.7","14.3","19.6","36","0.639","52","0.558","34","0.412","0.581","0.604","8.8","4.9","3.7","1","0.6","1.5","13.7","12.5","17.4","8.8","120.3","103.1"
"","Guerschon Yabusele","Phi","F","28.9","13","21.3","17.8","15.3","18","0.611","39","0.615","49","0.367","0.58","0.589","8.7","4.8","1.8","0.8","0.4","1.2","13.5","10.5","15.3","7.9","112.7","102.7"
"","Toumani Camara","Por","F","24.5","14","31.3","12.6","19.5","17","0.706","57","0.439","46","0.435","0.534","0.552","8.7","5","2.2","1.9","0.3","1.8","13.7","10.9","15.9","5.8","107","109"
"","Nic Claxton","Bro","C","25.6","11","24.8","14.1","14.8","28","0.464","63","0.651","0","0","0.651","0.631","8.6","7.7","2.5","0.5","1.2","1","16.4","11.2","18.9","8.9","128","107.7"
"","Naji Marshall","Dal","F","26.8","14","23.8","15.9","14.7","19","1","70","0.643","28","0.143","0.52","0.569","8.6","3.6","2.9","1.1","0.1","1.2","12.3","11.5","15.1","7.5","116.9","111.5"
"","Jalen Wilson","Bro","F","24","14","21.7","17.2","12.5","29","0.862","44","0.614","47","0.298","0.527","0.583","8.6","3.4","1.9","0.3","0","0.9","12.1","10.6","14","7","118.4","112.2"
"","Malaki Branham","San","F","21.5","12","14.6","24.3","16.6","18","0.833","45","0.511","30","0.467","0.587","0.621","8.6","1.8","1.2","0.4","0.2","1.3","10.3","9.8","11.5","7.3","107.7","113.8"
"","Dereck Lively II","Dal","C","20.8","10","22.6","14.5","18.4","26","0.538","53","0.679","0","0","0.679","0.667","8.6","6.8","2.2","0.6","1.6","1.2","15.4","10.8","17.6","8.9","130.2","99"
"","Kyshawn George","Was","F","20.9","13","27.8","15.1","8.9","20","0.7","38","0.5","74","0.27","0.438","0.464","8.6","4.2","3","0.8","0.9","0.8","12.8","11.6","15.8","6.9","101.6","113.8"
"","Jusuf Nurkic","Pho","C","30.2","13","23.7","21","27.7","47","0.66","53","0.472","38","0.263","0.44","0.497","8.5","9.8","1.1","0.8","0.5","2.7","18.4","9.6","19.5","7.6","88.3","98.9"
"","Anthony Black","Orl","G","20.8","15","24.8","17.7","22.7","37","0.757","69","0.478","36","0.306","0.471","0.524","8.5","3","4.3","1","0.9","2.1","11.5","12.7","15.7","7.7","103","100.1"
"","Davion Mitchell","Tor","G","26.2","15","29.2","14.5","21.7","18","0.722","64","0.531","51","0.294","0.491","0.513","8.4","2.8","5.9","1","0.3","2.1","11.2","14.3","17.1","7.1","105.7","113.8"
"","Andre Drummond","Phi","C","31.3","12","22.4","19.1","21.7","36","0.528","74","0.527","5","0.2","0.513","0.527","8.3","9.2","0.5","1.3","0.5","1.8","17.5","8.8","18","6","99.5","97.6"
"","Wendell Carter Jr.","Orl","C-F","25.6","6","26.4","13.4","7.3","18","0.778","22","0.682","16","0.125","0.474","0.544","8.3","8.8","2.2","1.3","0.3","0.5","17.2","10.5","19.3","8.2","124.2","95.3"
